Show,Date,Tickets Sold,Total GBOR,Advance Ticket Price,Artist Fee,Deal,Scan Count,Bar Sales,Bar Sales Per Head,Net Income
MARCH FOURTH MARCHING BAND,"Sun, 01/19/14",502.0,"$6,380.00",$12,,,,,,
STEEP CANYON RANGERS (w. LARRY KEEL),"Sat, 01/18/14",517.0,"$10,247.00",$20,,,,,,
CLUTCH / THE SWORD / CROBOT,"Thu, 01/16/14",755.0,"$18,875.00",$25,,,,,,
CODY PURVIS,"Sat, 01/04/14",602.0,"$6,472.00",$10,,,,,,
BOLD AS LOVE   ,"Fri, 01/03/14",317.0,"$3,770.00",$10,,,,,,
RISING APPALACHIA NYE GALA,"Thu, 12/31/15",666.0,"$28,957.00",$37,,,,,,
KNUCKLESCRACKER BURLESQUE SHOW,"Sun, 12/13/15",394.0,"$6,419.00",$15,,,,,,
STEEP CANYON RANGERS,"Fri, 12/11/15",315.0,"$6,172.00",$21,,,,,,
DAWES,"Tue, 12/08/15",775.0,"$17,298.00",$22,,,,,,
STEEL WHEELS,"Sat, 12/05/15",513.0,"$13,545.00",$25,,,,,,
LOVE CANON,"Fri, 12/04/15",648.0,"$9,846.00",$15,,,,,,
DARK STAR ORCHESTRA,"Wed, 12/02/15",750.0,"$19,462.00",$25,,,,,,
SAVED BY THE 90S,"Sat, 11/28/15",343.0,"$4,280.00",$12,,,,,,
CHAMOMILE AND WHISKEY / THE WILL OVERMAN BAND,"Fri, 11/27/15",516.0,"$6,384.00",$12,,,,,,
"BIGFOOT COUNTY, MAMA TRIED, RED AND THE ROMANTICS","Wed, 11/25/15",308.0,"$3,446.00",$10,,,,,,
DAVE RAWLINGS MACHINE,"Fri, 11/20/15",775.0,"$23,338.00",$30,,,,,,
YONDER MOUNTAIN STRING BAND,"Sun, 11/15/15",384.0,"$10,657.50",$27.50,,,,,,
THE REVIVALISTS,"Wed, 11/11/15",423.0,"$7,334.00",$16,,,,,,
PAPDOSIO,"Tue, 11/10/15",239.0,"$4,243.00",$17,,,,,,
SHAKY GRAVES,"Sun, 11/08/15",778.0,"$15,560.00",$20,,,,,,
TIMEFLIES,"Sun, 11/08/15",676.0,"$16,978.00",$25,,,,,,
HOT IN HERRE 2000s DANCE PARTY,"Sat, 11/07/15",665.0,"$6,214.00",$10,,,,,,
CARBON LEAF,"Fri, 11/06/15",594.0,"$9,762.00",$16,,,,,,
EOTO,"Wed, 11/04/15",321.0,"$6,516.00",$20,,,,,,
THE OH HELLOS,"Tue, 11/03/15",564.0,"$9,780.00",$15,,,,,,
JR. JR. ,"Mon, 11/02/15",157.0,"$2,323.00",$15,,,,,,
THE CHAINSMOKERS (EARLY),"Thu, 10/29/15",776.0,"$19,264.00",$25,,,,,,
THE CHAINSMOKERS (LATE),"Thu, 10/29/15",762.0,"$19,264.00",$25,,,,,,
TURNPIKE TROUBADORS,"Wed, 10/28/15",663.0,"$11,257.00",$16,,,,,,
BIG K.R.I.T.,"Sun, 10/25/15",330.0,"$6,742.00",$20,,,,,,
LEFTOVER SALMON,"Sat, 10/24/15",485.0,"$11,969.42",$25,,,,,,
WAKA FLOCKA FLAME,"Fri, 10/23/15",775.0,"$15,500.00",$20,,,,,,
GRANGER SMITH,"Thu, 10/22/15",415.0,"$6,258.00",$15,,,,,,
THIRD EYE BLIND,"Sat, 10/17/15",765.0,"$24,484.00",$32,,,,,,
CRACKER,"Fri, 10/16/15",398.0,"$7,206.00",$18,,,,,,
KAP SLAP,"Thu, 10/15/15",498.0,"$10,296.00",$20,,,,,,
LEGWARMERS,"Fri, 10/09/15",611.0,"$9,915.00",$16,,,,,,
RUBBLEBUCKET,"Wed, 09/30/15",244.0,"$3,583.00",$15,,,,,,
MAJOR AND THE MONBACKS,"Sat, 09/26/15",189.0,"$1,400.00",$10,,,,,,
NO SCRUBS 90S DANCE PARTY,"Fri, 09/25/15",270.0,"$4,175.00",$15,,,,,,
GREENSKY BLUEGRASS,"Wed, 09/23/15",709.0,"$11,800.00",$16,,,,,,
OF MONTREAL,"Sat, 09/19/15",491.0,"$8,914.00",$18,,,,,,
STURGILL SIMPSON,"Thu, 09/17/15",777.0,"$19,417.23",$25,,,,,,
GAELIC STORM,"Sun, 09/13/15",161.0,"$3,200.00",$20,,,,,,
XILENT,"Fri, 09/11/15",146.0,"$1,806.00",$12,,,,,,
BILLY AND THE KIDS,"Thu, 09/10/15",805.0,"$20,056.00",$25,,,,,,
FRANKIE BALLARD,"Wed, 09/09/15",547.0,"$8,198.00",$18,,,,,,
TREVOR HALL,"Fri, 09/04/15",354.0,"$6,142.00",$17,,,,,,
THE MAVERICKS,"Thu, 09/03/15",403.0,"$16,763.00",$35,,,,,,
HACKENSAW BOYS,"Sat, 07/25/15",305.0,"$4,670.00",$15,,,,,,
ROCKN TO LOCKN,"Fri, 07/24/15",626.0,"$4,614.00",$8,,,,,,
MATISYAHU,"Sun, 07/19/15",678.0,"$17,130.00",$25,,,,,,
DELBERT MCCLINTON,"Fri, 07/17/15",637.0,"$22,449.00",$35,,,,,,
OMEGACON COSPLAY BALL FEAT. THE RAIN WITHIN,"Fri, 07/10/15",139.0,"$3,228.00",$20,,,,,,
FARE THEE WELL SIMULCAST,"Fri, 07/03/15",518.0,"$5,440.00",$10,,,,,,
THREE SHEETS TO THE WIND,"Fri, 06/26/15",200.0,"$2,121.00",$10,,,,,,
CHRIS STAPLETON,"Sat, 06/20/15",775.0,"$11,625.00",$15,,,,,,
RISING APPALACHIA,"Fri, 06/19/15",581.0,"$10,486.00",$18,,,,,,
THE LEGWARMERS,"Fri, 06/12/15",579.0,"$9,381.00",$16,,,,,,
IRATION,"Sun, 04/26/15",423.0,"$8,684.00",$20,,,,,,
THE ANTLERS,"Sat, 04/25/15",401.0,"$6,462.00",$16,,,,,,
GUSTER,"Thu, 04/23/15",774.0,"$18,047.26",$25,,,,,,
LOTUS,"Fri, 04/17/15",634.0,"$6,311.00",$10,,,,,,
WOOD BROTHERS,"Wed, 04/15/15",542.0,"$10,898.00",$20,,,,,,
NEUTRAL MILK HOTEL ,"Tue, 04/14/15",785.0,"$26,554.00",$34,,,,,,
DELTA SPIRIT,"Sat, 04/11/15",409.0,"$6,869.00",$17,,,,,,
LARRY KEEL EXPERIENCE ,"Fri, 04/10/15",279.0,"$4,550.00",$16,,,,,,
RHIANNON GIDDENS,"Wed, 04/08/15",365.0,"$9,291.00",$27,,,,,,
GRIZ ,"Tue, 04/07/15",775.0,"$15,500.00",$20,,,,,,
GROOVE TRAIN,"Sat, 04/04/15",268.0,"$3,396.00",$12,,,,,,
TRIBAL SEEDS,"Wed, 04/01/15",268.0,"$4,138.00",$15,,,,,,
THE MACHINE,"Sat, 03/28/15",477.0,"$9,924.00",$20,,,,,,
DELTA RAE,"Fri, 03/27/15",719.0,"$14,508.00",$20,,,,,,
DUSTIN LYNCH,"Thu, 03/26/15",673.0,"$20,342.00",$30,,,,,,
DJ NASTY THROWBACK DANCE PARTY,"Sat, 03/21/15",158.0,$657.00,$5,,,,,,
LOVE CANON & FRIENDS,"Fri, 03/20/15",554.0,"$8,376.00",$16,,,,,,
J RODDY WALSTON,"Thu, 03/19/15",451.0,"$7,277.00",$16,,,,,,
EXCISION,"Tue, 03/17/15",775.0,"$19,387.00",$25,,,,,,
THE LONE BELLOW,"Sat, 03/14/15",775.0,"$12,400.00",$16,,,,,,
BRANDI CARLILE,"Fri, 03/13/15",777.0,"$24,087.00",$17,,,,,,
JEFF AUSTIN BAND & TRAVELIN' MCCOURYS,"Sat, 03/07/15",574.0,"$10,008.00",$17,,,,,,
JJ GREY & MOFRO ,"Wed, 03/04/15",595.0,"$12,046.00",$20,,,,,,
THE LEGWARMERS,"Sat, 02/28/15",775.0,"$12,400.00",$16,,,,,,
SOLAS,"Thu, 02/26/15",171.0,"$4,351.00",$25,,,,,,
NORTH MISSISSIPPI ALL STARS & ANDERS OSBORNE,"Sat, 02/21/15",750.0,"$15,176.00",$20,,,,,,
SOJA ,"Fri, 02/20/15",775.0,"$19,395.00",$25,,,,,,
DREW HOLCOMB,"Thu, 02/19/15",473.0,"$6,173.00",$13,,,,,,
VICE AND VIRTUE REVUE BURLESQUE,"Sat, 02/14/15",439.0,"$7,447.00",$12,,,,,,
WHOS BAD ,"Fri, 02/13/15",777.0,"$11,824.00",$15,,,,,,
ZOSO,"Thu, 02/12/15",349.0,"$5,352.00",$15,,,,,,
UMPHREYS MCGEE,"Wed, 02/11/15",778.0,"$21,395.00",$27.50,,,,,,
DONNA THE BUFFALO ,"Sat, 02/07/15",422.0,"$6,405.00",$15,,,,,,
STEEP CANYON RANGERS,"Fri, 02/06/15",473.0,"$9,598.00",$20,,,,,,
INGRID MICHAELSON,"Tue, 02/03/15",800.0,"$22,400.00",$28,,,,,,
COREY SMITH,"Sat, 01/31/15",775.0,"$11,625.00",$15,,,,,,
NO SCRUBS,"Fri, 01/30/15",901.0,"$11,438.00",$12,,,,,,
KAP SLAP ,"Thu, 01/29/15",575.0,"$12,790.00",$22,,,,,,
CHERUB,"Wed, 01/28/15",775.0,"$13,175.00",$17,,,,,,
DR DOG ,"Sun, 01/25/15",775.0,"$19,375.00",$25,,,,,,
THREE SHEETS TO THE WIND & TEAZE,"Fri, 01/16/15",265.0,"$2,762.00",$10,,,,,,
NASTY PRESENTS ,"Sat, 01/10/15",317.0,"$1,377.00",$5,,,,,,
BELLA MORE & EGYPT,"Fri, 01/09/15",216.0,"$2,309.00",$10,,,,,,
"BOWIE, TREX, BLONDIE TRIB","Sun, 01/04/15",150.0,"$1,292.00",$8,,,,,,
Love Canon,Sat 12/31/16,775.0,"$29,387.00",$35.00 ,"$14,887.00","$12,000 + 70%",845.0,"$12,748.00",$15.09,"$16,440.15"
Trombone Shorty,Thu 12/29/16,782.0,"$25,415.00",$32.50 ,"$16,363.39","$15,000 + 70%",782.0,"$7,844.00",$10.03,"$11,651.57"
The Legwarmers,Sat 2/6/16,775.0,"$12,400.00",$16.00 ,"$8,060.00",60% of GBOR,801.0,"$12,276.00",$15.33,"$11,586.29"
Drive By Truckers,Wed 3/16/16,750.0,"$18,701.00",$25.00 ,"$11,888.19","$10,000 + 70%",765.0,"$9,318.70",$12.18,"$11,017.00"
Blackberry Smoke,Sat 5/21/16,777.0,"$19,425.00",$25.00 ,"$12,980.00","$12,500 + 70%",777.0,"$10,122.00",$13.03,"$10,780.37"
Shovels & Rope,Sat 10/22/16,775.0,"$19,375.00",$25.00 ,"$12,431.25",60%,775.0,"$7,190.00",$9.28,"$10,490.50"
Eli Young Band,Fri 2/19/16,775.0,"$21,700.00",$28.00 ,"$14,663.00",60%,800.0,"$8,267.00",$10.33,"$10,210.21"
Reel Big Fish,Sat 1/30/16,777.0,"$13,993.00",$18.00 ,"$7,081.61",$5500 + 80%,777.0,"$8,653.40",$11.14,"$10,159.45"
Sons of Bill,Wed 12/21/16,756.0,"$16,869.00",$20.00 ,"$10,116.00",60%,756.0,"$8,617.00",$11.40,"$9,994.95"
The Wood Brothers,Sat 2/27/16,778.0,"$17,128.00",$22.00 ,"$10,938.20",60%,778.0,"$8,085.49",$10.39,"$9,982.86"
Jon Pardi,Thu 9/8/16,775.0,"$13,950.00",$18.00 ,"$7,530.70",$7500 + 70%,775.0,"$9,056.93",$11.69,"$9,937.52"
Railroad Earth,Fri 9/30/16,588.0,"$15,576.50",$25.00 ,"$8,962.23",65%,632.0,"$8,646.50",$13.68,"$9,815.95"
Robert Earl Keen,Thu 1/21/16,588.0,"$14,976.00",$25.00 ,"$8,202.94",$7500 + 70%,590.0,"$6,797.00",$11.52,"$9,572.67"
No Scrubs,Sat 10/15/16,846.0,"$8,155.00",$10.00 ,"$5,426.00",75%,863.0,"$11,813.00",$13.69,"$9,437.72"
Dark Star Orchestra,Mon 11/28/16,570.0,"$14,882.00",$25.00 ,"$8,971.05",$7500 + 70% ,570.0,"$9,042.00",$15.86,"$9,349.36"
Gogol Bordello,Tue 3/29/16,774.0,"$23,227.31",$29.99 ,"$16,887.09","$15,000  + 70%",801.0,"$7,324.00",$9.14,"$9,255.22"
Beats Antique,Tue 10/18/16,708.0,"$15,944.00",$22.00 ,"$10,000.00","$10,000 + 70%",733.0,"$8,629.00",$11.77,"$9,246.83"
STS9,Sun 11/6/16,750.0,"$26,604.00",$35.00 ,"$16,073.85",60%,783.0,"$9,792.00",$12.51,"$9,186.86"
Galactic,Thu 3/17/16,755.0,"$16,962.00",$22.00 ,"$10,605.80",60%,804.0,"$8,290.33",$10.31,"$9,179.50"
SOJA,Fri 3/25/16,742.0,"$20,344.50",$27.50 ,"$14,433.38",75%,754.0,"$9,253.00",$12.27,"$8,848.85"
SOJA,Fri 3/18/16,775.0,"$21,104.00",$27.50 ,"$14,815.50",75%,804.0,"$9,593.00",$11.93,"$8,594.00"
Kane Brown,Sun 4/10/16,775.0,"$13,562.50",$17.50 ,"$8,653.13",60%,762.0,"$5,445.00",$7.15,"$8,314.88"
Beach House,Wed 11/2/16,775.0,"$20,925.00",$27.00 ,"$13,491.36","$12,500 + 70%",775.0,"$4,369.00",$5.64,"$8,302.00"
Who's Bad,Fri 1/29/16,775.0,"$11,770.00",$15.00 ,"$7,370.50",60%,792.0,"$8,982.20",$11.34,"$8,124.54"
Corey Smith,Thu 2/25/16,586.0,"$10,595.00",$18.00 ,"$6,207.00",60%,564.0,"$8,826.00",$15.65,"$8,217.30"
Lettuce,Thu 10/27/16,613.0,"$11,246.00",$18.00 ,"$6,026.00",60%,613.0,"$8,539.00",$13.93,"$8,005.33"
Josh Ritter,Fri 5/27/16,775.0,"$15,500.00",$20.00 ,"$9,425.00",60%,784.0,"$5,844.00",$7.45,"$7,993.71"
Railroad Earth,Sat 10/1/16,588.0,"$14,510.50",$25.00 ,"$9,269.33",65%,632.0,"$9,446.00",$14.95,"$7,961.41"
Moon Taxi,Sun 4/3/16,660.0,"$9,977.00",$15.00 ,"$5,598.00",60%,659.0,"$5,693.00",$8.64,"$7,894.24"
Pigeons Playing Ping Pong,Wed 4/20/16,613.0,"$7,644.00",$12.00 ,"$4,333.20",60%,613.0,"$9,271.00",$15.12,"$7,864.19"
Skip Castro,Sat 1/2/16,535.0,"$10,857.00",$20.00 ,"$6,514.20",60%,576.0,"$6,773.00",$11.76,"$7,857.72"
Lotus,Tue 2/9/16,644.0,"$15,970.00",$25.00 ,"$10,000.00","$10,000 + 70%",672.0,"$7,883.00",$11.73,"$7,741.46"
The Legwarmers,Sat 6/25/16,613.0,"$9,907.00",$16.00 ,"$5,944.20",60%,613.0,"$8,828.00",$14.40,"$7,569.83"
Pigeons Playing Ping Pong and Dopapod,Fri 11/11/16,584.0,"$10,743.00",$18.00 ,"$6,308.60",60%,584.0,"$7,928.00",$13.58,"$7,507.96"
Lupe Fiasco,Thu 2/4/16,775.0,"$27,141.00",$35.00 ,"$20,672.70",$20000 + 70%,833.0,"$6,035.70",$7.25,"$7,405.14"
Frank Turner,Fri 10/28/16,554.0,"$13,958.00",$25.00 ,"$8,250.00",$8250 + 70%,554.0,"$5,697.00",$10.28,"$7,277.79"
Legwarmers,Sat 10/8/16,586.0,"$9,553.00",$16.00 ,"$5,719.80",60%,617.0,"$7,773.00",$12.60,"$7,209.72"
Girl's Night Out,Thu 4/21/16,475.0,"$10,620.00",$20.00 ,"$5,010.00",$2500 vs 50%,487.0,"$4,700.00",$9.65,"$7,015.84"
Yo La Tengo,Sun 3/27/16,623.0,"$12,560.00",$20.00 ,"$6,280.00",$4000 vs 50%,594.0,"$4,077.00",$6.86,"$7,005.45"
Ben Rector,Thu 9/22/16,778.0,"$27,230.00",$35.00 ,"$17,102.90",60%,778.0,"$1,508.00",$1.94,"$6,921.32"
David Bowie Tribute,Sat 2/13/16,682.0,"$6,517.00",$10.00 ,"$7,700.98",,682.0,"$7,641.00",$11.20,"$6,906.39"
Parachute,Sat 3/26/16,800.0,"$16,800.00",$21.00,"$8,450.00",65%,703.0,"$4,347.00",$6.18,"$6,874.74"
Cody Purvis,Fri 1/8/16,750.0,"$9,178.00",$12.00,"$5,515.70",60%,631.0,"$7,538.00",$11.95,"$6,872.59"
Skip Castro,Thu 12/29/16,492.0,"$10,192.00",$20.00,"$6,024.00",60%,514.0,"$6,510.00",$12.67,"$6,692.74"
Chris Robinson Brotherhood,Thu 11/10/16,508.0,"$10,264.00",$20.00,"$6,000.00",$6000 + 70%,513.0,"$6,241.00",$12.17,"$6,581.47"
Keys N Krates,Tue 1/26/16,654.0,"$11,885.00",$18.00,"$5,726.25","$5,000 + 70%",654.0,"$4,925.00",$7.53,"$6,548.86"
Kap Slap,Fri 9/23/16,750.0,"$15,252.00",$20.00,"$7,915.05",60%,701.0,"$1,886.00",$2.69,"$6,529.39"
SoMo,Fri 4/22/16,769.0,"$15,608.00",$20.00,"$9,072.70",60%,782.0,"$3,196.00",$4.09,"$6,231.15"
Brian Fallon,Fri 1/15/16,475.0,"$10,672.50",$22.50,"$6,091.10",$4800 vs 60%,418.0,"$4,841.00",$11.58,"$6,108.73"
Hot In Herre,Fri 7/8/16,627.0,"$5,794.00",$10.00,"$4,345.50",75%,635.0,"$7,729.00",$12.17,"$5,975.84"
Big Gigantic,Wed 4/13/16,669.0,"$16,869.06",$24.99,"$9,500.00","$12,500 + 70%",715.0,"$8,065.00",$11.28,"$5,911.15"
Hackensaw Boys and Larry Keel,Fri 11/25/16,412.0,"$7,545.00",$18.00,"$4,436.00",60%,412.0,"$7,453.00",$18.09,"$5,894.53"
Oh Wonder,Thu 10/13/16,750.0,"$13,537.00",$18.00,"$6,869.33",$6500 + 70%,750.0,"$2,368.94",$3.16,"$5,883.36"
Leon Russell,Fri 3/4/16,392.0,"$14,572.00",$37.00,"$8,376.95",$7500 + 70%,394.0,"$2,885.14",$7.32,"$5,823.20"
Guided By Voices,Fri 10/7/16,434.0,"$12,893.00",$29.50,"$9,300.00","$9,000 + 70%",477.0,"$5,884.00",$12.34,"$5,562.12"
Hot In Herre,Sat 11/5/16,648.0,"$6,065.00",$10.00,"$4,155.00",75%,648.0,"$7,712.00",$11.90,"$5,535.28"
Love Canon,Fri 5/13/16,519.0,"$7,939.00",$15.00,"$4,343.00",60%,533.0,"$6,233.00",$11.69,"$5,193.75"
Zoso,Tue 1/12/16,497.0,"$7,626.00",$15.00,"$4,455.60",60%,489.0,"$5,643.00",$11.54,"$5,168.16"
Yonder Mountain String Band,Fri 10/14/16,417.0,"$10,773.00",$25.00,"$6,627.00",65%,441.0,"$5,837.00",$13.24,"$5,011.69"
Carbon Leaf,Fri 11/4/16,460.0,"$8,353.00",$18.00,"$4,861.80",60%,477.0,"$4,651.00",$9.75,"$4,468.63"
No Scrubs,Fri 2/26/16,530.0,"$4,967.00",$10.00,"$3,331.50",75%,618.0,"$6,339.00",$10.26,"$4,388.00"
Mountain Goats,Tue 9/20/16,509.0,"$10,288.00",$20.00,"$6,022.80",60%,509.0,"$2,903.00",$5.70,"$4,289.12"
M Ward,Sat 4/30/16,587.0,"$11,864.00",$20.00,"$7,500.00",$7500 + 70%,587.0,"$4,302.00",$7.33,"$4,162.69"
The Machine,Fri 4/8/16,379.0,"$7,976.00",$20.00,"$5,000.00",$5000 + 70%,413.0,"$4,427.00",$10.72,"$4,027.94"
Cherub,Wed 2/17/16,560.0,"$10,960.00",$20.00,"$7,076.00",60%,576.0,"$6,060.00",$10.52,"$3,950.09"
No BS Brass Band,Sat 12/3/16,387.0,"$5,981.00",$15.00,"$2,292.00",60%,387.0,"$4,956.00",$12.81,"$3,919.58"
Delta Rae,Sat 4/9/16,609.0,"$12,324.00",$20.00,"$8,500.00",$8500 + 70%,605.0,"$4,195.98",$6.94,"$3,826.90"
Milk Carton Kids,Tue 4/12/16,343.0,"$12,378.00",$35.00,"$7,126.80",60%,320.0,"$1,570.54",$4.91,"$3,800.47"
Stranger Things Dance Party,Sat 9/10/16,337.0,"$3,552.00",$10.00,"$2,131.20",60%,337.0,"$5,513.00",$16.36,"$3,507.91"
Joe Lawlor DMB Pre Party,Fri 5/6/16,352.0,"$3,358.00",$10.00,"$1,007.40",50%,418.0,"$5,490.00",$13.13,"$3,439.16"
Nasty,Mon 6/13/16,377.0,"$1,556.00",$5.00,$933.60,60%,551.0,"$5,929.49",$10.76,"$3,335.09"
Lucius,Sat 10/29/16,437.0,"$7,910.00",$18.00,"$4,446.00",60%,437.0,"$3,439.00",$7.87,"$3,131.67"
Johnny Swim,Mon 4/25/16,448.0,"$9,862.00",$22.00,"$6,667.20",60%,448.0,"$1,775.00",$3.96,"$3,067.58"
Tallest Man On Earth,Tue 6/7/16,580.0,"$16,064.00",$27.50,"$12,500.00","$12,500 + 85%",592.0,"$2,453.00",$4.14,"$2,953.95"
Todd Snider,Fri 10/21/16,297.0,"$7,094.00",$25.00,"$3,905.40",60%,297.0,"$2,977.00",$10.02,"$2,945.49"
Girl's Night Out,Sat 4/23/16,333.0,"$7,920.00",$20.00,"$3,660.00",$2500 vs 50%,333.0,"$3,303.00",$9.92,"$2,861.45"
The Jayhawks,Sun 6/19/16,317.0,"$11,314.00",$37.00,"$7,500.00",$7500 + 70%,301.0,"$2,361.74",$7.85,"$2,783.13"
Nasty,Fri 2/5/16,406.0,"$1,719.00",$5.00,$531.40,60%,477.0,"$5,036.00",$10.56,"$2,775.18"
Indecision,Tue 12/27/16,286.0,"$3,590.00",$12.00,"$2,094.00",60%,286.0,"$4,574.00",$15.99,"$2,692.95"
STRFKR,Thu 12/1/16,415.0,"$7,550.00",$18.00,"$3,900.00",60%,415.0,"$3,142.00",$7.57,"$2,646.16"
Three Sheets to the Wind,Sat 2/13/16,237.0,"$3,250.00",$12.00,"$1,860.00",60%,245.0,"$4,049.70",$16.53,"$2,631.68"
"Ugly Sweater Party - Three Shees to the Wind, Lone Rangers, Winston Hodges",Fri 12/9/16,237.0,"$2,799.00",$12.00,"$1,395.00",60%,237.0,"$4,727.00",$19.95,"$2,629.95"
Donna the Buffalo,Sat 1/9/16,346.0,"$5,273.00",$15.00,"$3,013.80",60%,359.0,"$3,688.00",$10.27,"$2,612.93"
Prince Dance Party,Sat 5/14/16,373.0,"$1,640.00",$5.00,$820.00,50%,373.0,"$4,933.00",$13.23,"$2,500.20"
Groove Train,Fri 4/1/16,284.0,"$3,360.00",$12.00,"$1,986.00",60%,340.0,"$4,096.00",$12.05,"$2,362.75"
Nasty,Fri 3/11/16,242.0,"$1,078.00",$5.00,$646.80,60%,242.0,"$5,542.49",$22.90,"$2,313.12"
Rumours,Sat 7/16/16,285.0,"$3,600.00",$12.00,"$2,160.00",60%,334.0,"$3,054.00",$9.14,"$2,296.47"
Moon Taxi,Sat 7/8/05,287.0,"$4,384.00",$15.00,"$2,368.20",60%,323.0,"$3,102.00",$9.60,"$2,261.71"
Rumours,Sat 9/24/16,293.0,"$3,584.00",$12.00,"$2,150.40",60%,293.0,"$3,392.00",$11.58,"$2,225.38"
Sasheer Zamata,Mon 8/22/16,239.0,"$5,312.00",$22.00,"$2,500.00",$2500 vs 50%,268.0,$905.00,$3.38,"$2,224.21"
March Fourth Marching Band,Thu 5/12/16,306.0,"$4,942.00",$15.00,"$2,845.00",60%,361.0,"$3,544.00",$9.82,"$2,162.95"
Drew Holcomb,Wed 4/6/16,396.0,"$5,979.00",$15.00,"$3,377.40",60%,396.0,"$1,903.43",$4.81,"$1,864.67"
Real Estate,Thu 9/29/16,305.0,"$5,540.00",$18.00,"$3,052.80",60%,305.0,"$2,259.00",$7.41,"$1,831.90"
Nasty,Fri 8/19/16,139.0,$606.00,$5.00,"$1,000.00","$1,000 Guarantee",488.0,"$5,267.55",$10.79,"$1,754.73"
Groove Train,Sat 11/26/16,297.0,"$3,752.00",$12.00,"$2,371.20",60%,317.0,"$3,396.00",$10.71,"$1,725.62"
Prince Tribute,Fri 6/17/16,297.0,"$3,151.00",$10.00,"$1,384.20",60%,351.0,"$3,394.00",$9.67,"$1,661.13"
Zoogma,Thu 4/28/16,284.0,"$3,552.00",$12.00,"$2,032.00",60%,409.0,"$3,580.00",$8.75,"$1,596.12"
The Motet,Thu 4/14/16,206.0,"$3,186.00",$15.00,"$1,710.41",60%,268.0,"$3,544.00",$13.22,"$1,506.36"
Waka Flaka Flame,Sun 9/18/16,611.0,"$13,536.00",$22.00,"$10,000.00","$10,000 + 70%",611.0,"$1,800.00",$2.95,"$1,448.18"
Parquet Courts,Wed 5/18/16,173.0,"$2,595.00",$15.00,"$1,307.00",60%,270.0,"$2,261.21",$8.37,"$1,370.29"
Nasty,Fri 9/2/16,284.0,"$1,165.00",$5.00,$699.00,60%,430.0,"$3,998.00",$9.30,"$1,365.75"
Larry Keel,Thu 3/24/16,204.0,"$3,328.00",$16.00,"$2,000.00","$2,000 vs 50%",232.0,"$3,031.00",$13.06,"$1,309.13"
Magic Mike,Sat 7/9/16,138.0,"$3,453.60",$22.00,"$2,072.16",60%,146.0,"$1,560.00",$10.68,"$1,296.90"
Thankful Dead,Wed 11/23/16,230.0,"$2,427.00",$10.00,"$1,396.00",60%,230.0,"$3,626.00",$15.77,"$1,188.88"
We Are Star Children,Fri 7/15/16,207.0,"$1,900.00",$10.00,$950.00,60%,233.0,"$2,853.00",$12.24,"$1,065.78"
The Floozies,Wed 3/2/16,217.0,"$3,333.00",$15.00,$177.20,60%,244.0,"$3,214.55",$13.17,"$1,062.02"
Marian Hill,Sun 9/11/16,261.0,"$5,288.00",$20.00,"$3,052.80",60%,261.0,"$1,957.00",$7.50,"$1,044.00"
"Back to School Special - Kendall St, Southern Belles,Lord Nelson",Thu 1/28/16,136.0,$575.00,$5.00,$0.00,,319.0,"$2,852.00",$8.94,$979.30
Mike Stud,Tue 10/11/16,342.0,"$8,324.00",$15.00,"$3,500.00",$3500 + 70% ,302.0,"$1,776.28",$5.88,$813.16
Particle,Fri 4/15/16,178.0,"$2,554.00",$15.00,"$1,021.60",60%,203.0,"$2,283.00",$11.25,$584.23
Chamomille & Whiskey DMB After Party,Sat 5/7/16,197.0,$870.00,$5.00,$348.00,50%,201.0,"$2,592.00",$12.90,$558.82
Wild Nothing,Wed 11/16/16,188.0,"$2,773.00",$15.00,"$1,156.95",60%,189.0,"$1,737.00",$9.19,$503.08
Olate Dogs,Wed 11/9/16,121.0,"$4,009.00",$25.00,"$2,213.40",60%,162.0,$360.00,$2.22,$432.18
Ricky Skaggs,Tue 11/29/16,279.0,"$10,487.00",$37.00,"$10,000.00","$10,000 + 70%",279.0,"$2,224.00",$7.97,$256.21
Satisfaction,Thu 3/10/16,105.0,"$1,538.00",$15.00,$672.80,60%,210.0,"$1,794.00",$8.54,$237.54
Wale,Mon 10/10/16,492.0,"$16,604.00",$30.00,"$15,925.00","$15,000 + 70%",508.0,"$4,432.00",$8.72,$207.60
Aofie ODonovan and Willie Watson,Wed 10/26/16,131.0,"$2,874.00",$20.00,$153.40,60%,131.0,$882.12,$6.73,$161.98
Cherub,Sat 7/8/05,258.0,"$5,066.00",$20.00,"$3,539.60",60%,283.0,"$2,183.79",$7.72,-$24.17
Denzel Curry,Wed 9/28/16,287.0,"$4,648.00",$16.00,"$3,000.00","$3,000 + 70%",286.0,$648.00,$2.27,-$265.73
First Harmonics,Thu 6/16/16,144.0,"$1,415.00",$10.00,$707.50,50%,156.0,$563.00,$3.61,-$444.15
Burlesque - Advanced Anatomy,Thu 8/11/16,107.0,"$1,640.00",$12.00,$984.00,60%,107.0,$957.00,$8.94,-$451.31
Goldlink,Sun 3/20/16,254.0,"$4,609.00",$18.00,"$4,000.00","$4,000 + 70%",259.0,$588.36,$2.27,-$722.85
Matisyahu,Tue 8/30/16,361.0,"$9,177.00",$25.00,"$11,500.00","$11,500 + 70%",408.0,"$3,716.80",$9.11,-$870.40
